app_name;count
Neon Hardcorps;200
DRAGON QUEST HEROES™ II;600
Out of the Park Baseball 19;700
Shadow Complex Remastered;700
Don't Escape: 4 Days to Survive;1013
Slipstream;1103
Toukiden 2;1200
Budget Cuts;1298
WWE 2K17;1499
Battle Royale Trainer;1600
BERSERK and the Band of the Hawk;1601
Rapture Rejects;1603
The Legend of Heroes: Trails of Cold Steel II;1701
Fishing: Barents Sea;1802
Identity;1804
Hunt Down The Freeman;1815
Secret of Mana;1900
Farm Manager 2018;2002
The End Is Nigh;2018
Clicker Heroes 2;2100
Down To One;2101
Fairy Fencer F Advent Dark Force;2101
Volgarr the Viking;2202
Urban Empire;2300
Pogostuck: Rage With Your Friends;2332
Umbrella Corps;2505
Cold Waters;2714
Iconoclasts;2800
Thimbleweed Park;2800
SimAirport;2803
Ultimate Marvel vs. Capcom 3;2804
X-Blades;2805
WWE 2K19;2907
Devil May Cry HD Collection;2999
SENRAN KAGURA Peach Beach Splash;3100
Rise of Industry;3102
Due Process;3104
"STEINS;GATE 0";3202
Styx: Shards of Darkness;3204
Ghost of a Tale;3303
Staxel;3500
Nova Drift;3539
Void Bastards;3573
Torment: Tides of Numenera;3601
20XX;3610
Deus Ex: The Fall;3610
WWE 2K20;3638
CHRONO TRIGGER;3802
We Were Here Too;3809
Axiom Verge;4015
METAL GEAR SURVIVE;4104
SENRAN KAGURA ESTIVAL VERSUS;4105
Cyberdimension Neptunia: 4 Goddesses Online;4200
FINAL FANTASY XII THE ZODIAC AGE;4207
Dead Rising 4;4308
Puyo Puyo™Tetris®;4497
Dragon Cliff ??;4601
Rules Of Survival;4902
Senren?Banka;5034
GOD EATER 3;5128
Steel Division: Normandy 44;5201
Heroes of Hammerwatch;5207
RollerCoaster Tycoon World;5304
Dungreed;5312
Guacamelee! Super Turbo Championship Edition;5318
Grimm's Hollow;5345
Ancestors Legacy;5403
Takedown: Red Sabre;5502
Desolate;5503
ULTRAKILL;5584
The Wild Eight;5601
Titan Souls;5714
A Short Hike;5847
Eco;5918
Age of Empires: Definitive Edition;5963
Trailmakers;6026
Cave Story+;6208
Railway Empire;6302
Train Sim World® 2020;6504
Kingdom Two Crowns;6709
Pit People;6806
SOS;6900
X Rebirth;7001
Foundation;7060
Stay Out;7170
Warhammer 40,000: Mechanicus;7207
Wolfenstein: Youngblood;7445
Townscaper;7601
Ni no Kuni™ II: Revenant Kingdom;7609
Bomber Crew;7689
PixARK;7711
DYNASTY WARRIORS 9;7807
FAR: Lone Sails;8005
Monster Prom;8012
Avorion;8108
?????8 Heroes of the Three Kingdoms 8;8111
SOULCALIBUR VI;8211
Momodora: Reverie Under the Moonlight;8218
There Is No Game: Wrong Dimension;8409
Keep Talking and Nobody Explodes;8813
Detention;9203
Just Shapes & Beats;9256
Phoenix Wright: Ace Attorney Trilogy;9360
"STEINS;GATE";9621
Thief Simulator;9626
Freeman: Guerrilla Warfare;9904
X-Plane 11;10000
Darksiders III;10008
Total War Saga: Thrones of Britannia;10009
Bless Online;10197
Crash Bandicoot™ N. Sane Trilogy;10313
Finding Paradise;10429
Night in the Woods;10808
A Way Out;10941
DiRT 4;11020
DUSK;11050
Into the Breach;11246
The Room Two;11336
Golf It!;11515
Gunpoint;11610
Pillars of Eternity II: Deadfire;11619
Baba Is You;11762
Tales of Berseria;11904
Football Manager 2019;11906
Farm Together;12317
Salt and Sanctuary;12362
Youtubers Life;12621
Streets of Rogue;12711
Shovel Knight: Treasure Trove;13030
Vampyr;13312
Danganronpa 2: Goodbye Despair;13622
Surviving Mars;13714
Sword Art Online: Fatal Bullet;14612
Mark of the Ninja;15501
One Finger Death Punch;15504
NBA 2K21;15735
The Room;15820
BATTALION 1944;16004
Mutant Year Zero: Road to Eden;16208
Cube World;16333
Danganronpa: Trigger Happy Havoc;16689
For The King;17118
Nether;17406
Just Cause 4;18111
Warhammer 40,000: Dawn of War III;18435
NBA 2K18;18718
OneShot;18975
The Henry Stickmin Collection;19400
Pathfinder: Kingmaker;20386
